Name,Speed,Spin,Control,Power,Level,Style,Price,Weight_g,Sponge_Sizes,Description,Image_URL
Butterfly Tenergy 05,92,96,72,90,Advanced,Normal,96.59,46,"1.7mm,1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Tenergy 05 FX,86,92,78,82,Advanced,Normal,96.59,44,"1.7mm,1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Tenergy 05 Hard,94,97,68,93,Advanced,Normal,97.69,49,"1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Dignics 05,91,97,71,91,Advanced,Normal,102.14,48.5,"1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Dignics 09C,89,98,70,90,Advanced,Normal,113.49,49.1,"1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Rozena,83,72,82,78,Intermediate,Normal,48.29,47,"1.7mm,1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Sriver,72,70,86,68,Intermediate,Normal,39.84,42,"1.5mm,1.7mm,1.9mm,2.1mm,Max","Write a 2-3 sentence description here for SEO.",
Butterfly Sriver FX,76,73,84,72,Intermediate,Normal,39.84,39,"1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Butterfly Feint Long II (long pips),45,20,92,30,Advanced,Long Pimples,37.42,49,"OX,0.5mm,1.1mm,1.3mm","Write a 2-3 sentence description here for SEO.",
JOOLA Dynaryz CMD,86,88,79,84,Advanced,Normal,79.41,48,"2.0mm,Max","Write a 2-3 sentence description here for SEO.",
JOOLA Dynaryz ZGR,90,92,75,88,Advanced,Normal,71.25,56,"2.0mm,Max","Write a 2-3 sentence description here for SEO.",
JOOLA Dynaryz AGR,92,93,73,90,Advanced,Normal,69.09,46,"2.0mm,Max","Write a 2-3 sentence description here for SEO.",
JOOLA Dynaryz ACC,91,90,74,89,Advanced,Normal,72.51,46,"2.0mm,Max","Write a 2-3 sentence description here for SEO.",
Andro Rasanter R50,92,93,70,89,Advanced,Normal,56.74,51,"1.7mm,2.0mm,2.3mm","Write a 2-3 sentence description here for SEO.",
Andro Rasanter R47,90,91,72,87,Advanced,Normal,60.32,48,"1.7mm,2.0mm,2.3mm","Write a 2-3 sentence description here for SEO.",
Andro Rasanter R42,85,86,77,80,Intermediate,Normal,60.32,46,"1.7mm,2.0mm,2.3mm","Write a 2-3 sentence description here for SEO.",
Andro Rasanter R45,89,83,75,87,Intermediate,Normal,59.57,49,"1.7mm,2.0mm,Ultramax","Write a 2-3 sentence description here for SEO.",
Andro Hexer PowerGrip SFX,89,87,75,86,Intermediate,Normal,58.02,48,"1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
Andro Hexer Duro,89,88,72,86,Intermediate,Normal,60.65,43,"1.9mm,2.1mm","Write a 2-3 sentence description here for SEO.",
DHS Hurricane 3 Neo (Provincial),78,94,68,80,Advanced,Normal,64.61,46,"2.15mm,2.2mm","Write a 2-3 sentence description here for SEO.",
DHS Hurricane 3 Neo (Blue Sponge / National),80,95,66,82,Advanced,Normal,81.57,50,2.15mm,"Write a 2-3 sentence description here for SEO.",
DHS Hurricane 3-50,77,90,70,78,Advanced,Normal,60.32,48,2.15mm,"Write a 2-3 sentence description here for SEO.",
DHS Hurricane 8,85,86,73,83,Advanced,Normal,41.04,52,"2.0mm,2.1mm,2.2mm","Write a 2-3 sentence description here for SEO.",
DHS Gold Arc 8,90,89,71,88,Advanced,Normal,59.16,49,"2.0mm,2.1mm,2.2mm","Write a 2-3 sentence description here for SEO.",
