"Blade_Name","Blade_Speed","Blade_Spin","Blade_Control","Blade_Power","Blade_Level","Blade_Style","Blade_Price","Blade_Weight","Blade_Grip","Blade_Description","Blade_Image","Blade_Stiffness","Blade_Material","Blade_Brand"
"Butterfly Viscaria","92","88","75","92","Advanced","Offensive","150","85","FL, ST","The gold standard for modern offensive play. Viscaria's Koto outer ply and ALC fiber provide the crisp, powerful, and consistent benchmark used by countless professionals.","","78","Outer-Carbon","Butterfly"
"Butterfly Timo Boll ALC","93","87","74","93","Advanced","Offensive","150","85","FL, ST","Based on the Viscaria construction but with a slightly sharper, stiffer feel. It is optimized for close-to-the-table counter-looping and precise, powerful attacks.","","80","Outer-Carbon","Butterfly"
"DHS Hurricane Long 5","95","89","76","95","Advanced","Offensive","150","85","FL, ST","The ultimate ""Innerforce"" ALC blade. Limba outer plies over a carbon core offer massive dwell time and safety for slow loops, unlocking devastating power on full-force strokes.","","70","Inner-Carbon","DHS"
"Stiga Clipper Wood","86","95","82","86","Advanced","Offensive","80","85","FL, ST","The legendary all-wood powerhouse. Known for its thick composition and solid feel, it provides incredible control for blocking and driving, making it the perfect choice for traditional power players.","","75","All-Wood","Stiga"
"Nittaku Acoustic","78","99","90","78","Intermediate","All-Round","80","85","FL, ST","Built using acoustic instrument manufacturing techniques. The special gluing process gives it unique ""feedback"" and flexibility, offering unparalleled control and spin for technical, loop-focused players.","","60","All-Wood","Nittaku"
"Butterfly Innerforce Layer ALC","89","93","80","89","Advanced","Offensive","80","85","FL, ST","Butterfly's answer to the Inner-carbon demand. This blade acts like a controllable 5-ply wood on soft contact but activates the ALC core for powerful, safe looping on strong attacks.","","68","Inner-Carbon","Butterfly"
"Stiga Carbonado 145","94","85","72","94","Advanced","Offensive","150","85","FL, ST","A high-tech beast using unique TeXtreme flat-weave carbon. The 145 angle provides a wider sweet spot and a flatter, more direct trajectory for aggressive smashers and drivers.","","85","Outer-Carbon","Stiga"
"Xiom Stradivarius","91","89","76","91","Advanced","Offensive","150","85","FL, ST","A high-value alternative to the Viscaria class. The Aramid Carbon (a slightly softer ALC variant) over Koto provides a crisp, responsive feel for dynamic all-round offensive play.","","76","Outer-Carbon","Xiom"
"Butterfly Primorac Carbon","98","73","60","98","Advanced","Offensive","150","85","FL, ST","A pure speed legend. Thick Cypress outer plies combined with T5000 carbon make this one of the stiffest and fastest blades ever made, perfect for flat hitters and blockers.","","95","Outer-Carbon","Butterfly"
"Donier Balsa 14.5","84","98","85","84","Intermediate","All-Round","80","85","FL, ST","The lightweight touch specialist. A thick Balsa core offers a unique low-gear control for short-game precision, while the fiberglass layers give surprising power on put-away shots.","","70","Inner-Carbon","Donier"
"Nittaku Violin","75","99","94","75","Beginner","All-Round","80","85","FL, ST","The ultimate control blade. White Ash outer plies and special instrument gluing give the highest dwell time among all-wood blades, making it the spin-master's dream.","","55","All-Wood","Nittaku"
"Butterfly Mazunov","88","91","78","88","Advanced","Offensive","80","85","FL, ST","An anomaly—a heavy, stiff, 5-ply wood that rivals many carbon blades in speed. Its unique Planchonello outer plies create a massive ""catapult effect"" for traditional, mid-distance power loops.","","82","All-Wood","Butterfly"
"Stiga Infinity VPS V","83","99","86","83","Intermediate","All-Round","80","85","FL, ST","Custom-treated ""Diamond Touch"" Limba plies. This VPS technology hardens the outer surface, giving the control of a 5-ply wood with a crispness that supports the modern, poly-ball loop game.","","65","All-Wood","Stiga"
"Joola Rossi Emotion","87","97","84","87","Advanced","Offensive","80","85","FL, ST","A hidden gem in the Inner-carbon category. Its extremely soft Hinoki outer plies provide luxurious touch, while the inner carbon layers give strong, dynamic speed when needed.","","62","Inner-Carbon","Joola"
"Butterfly Timo Boll ZLC","96","81","68","96","Advanced","Offensive","150","85","FL, ST","Zylon/Carbon weave is lighter, stiffer, and more explosive than ALC. This blade offers massive speed and a direct, flat trajectory, rewarding advanced players with precise timing.","","90","Outer-Carbon","Butterfly"
"DHS Hurricane Long 3","87","94","81","87","Advanced","Offensive","80","85","FL, ST","A refined, slightly softer version of the classic Stiga Clipper Wood. This 7-ply all-wood construction offers a perfect balance of control, solid feel, and traditional loop power.","","72","All-Wood","DHS"
"Nittaku Tenaly Acoustic","78","99","90","78","Intermediate","All-Round","80","85","FL, ST","The ultimate ergonomic tool. It uses the award-winning Acoustic construction but with a patented curved handle that automatically aligns the blade angle for a natural, stress-free grip.","","60","All-Wood","Nittaku"
"Butterfly Petr Korbel","76","99","91","76","Intermediate","All-Round","80","85","FL, ST","The benchmark 5-ply Limba looping blade. Thousands of players have developed their game with this blade, which excels at producing massive spin and consistent rallies.","","58","All-Wood","Butterfly"
"Stiga Rosewood NCT V","89","90","77","89","Advanced","Offensive","80","85","FL, ST","Stiga's fastest all-wood blade. Extremely hard Rosewood outer plies combined with NCT technology make this blade stiff and responsive, supporting aggressive driving and smashing.","","85","All-Wood","Stiga"
"Victas Koki Niwa Wood","90","88","75","90","Advanced","Offensive","80","85","FL, ST","Designed for the counter-attack specialist. This unique 7-ply construction uses softer outer plies over a hard core, giving the solid feel needed to absorb and redirect opponent power.","","80","All-Wood","Victas"
"Butterfly Mizutani Jun ZLC","95","83","70","95","Advanced","Offensive","150","85","FL, ST","A direct competitor to the TB ZLC. It utilizes the same explosive ZLC material but is configured for a slightly higher throw angle, making it deadlier for high-speed, mid-distance looping rallies.","","88","Outer-Carbon","Butterfly"
"DHS Power G7","85","96","83","85","Intermediate","All-Round","80","85","FL, ST","A legendary high-value 7-ply wood. It offers a versatile, ""classic"" 7-ply feel, giving strong power for drives and blocks without sacrificing the dwell time needed for strong loops.","","70","All-Wood","DHS"
"Donic Ovtcharov True Carbon","92","87","74","92","Advanced","Offensive","150","85","FL, ST","A direct, high-quality alternative to the Viscaria and TB ALC. Donic uses the identical Koto-ALC construction method, offering the same iconic crisp, versatile, professional offensive power.","","79","Outer-Carbon","Donic"
"Butterfly Gergely","97","75","62","97","Advanced","Offensive","150","85","FL, ST","A speed beast derived from the Primorac Carbon but with a larger, more traditional handle shape. Its T5000/Cypress build is optimized for flat hitting, smashing, and uncompromising offensive pressure.","","93","Outer-Carbon","Butterfly"
"Stiga Ebenholz NCT V","91","88","75","91","Advanced","Offensive","150","85","FL, ST","Stiga's fastest and stiffest all-wood blade, using extremely hard Ebony outer plies. This creates a massive ""rebound effect,"" perfect for players who demand maximum speed and a direct, powerful trajectory.","","88","All-Wood","Stiga"
"Nittaku Ludeack Power","88","92","79","88","Advanced","Offensive","80","85","FL, ST","A refined, stiffer version of the Nittaku Ludeack. This 7-ply wood is built for the post-poly ball era, giving the extra speed needed for power drives and consistent, strong counter-looping.","","78","All-Wood","Nittaku"
"Butterfly Innerforce Layer ZLC","93","88","75","93","Advanced","Offensive","150","85","FL, ST","The ultimate Inner-fiber blend. It features the soft feel and dwell time of a 5-ply wood on soft contact, but activating the powerful, stiff ZLC core unlocks massive, dynamic power on strong loops.","","75","Inner-Carbon","Butterfly"
"DHS Hurricane Hao III","89","93","80","89","Advanced","Offensive","80","85","FL, ST","A unique ""glass-carbon"" mono-core blade. Its thick central carbon layer is designed specifically for the Penhold RPB grip, giving immense power for loop-drives while maintaining incredible touch.","","65","Inner-Carbon","DHS"
"Joola Aruna Off","89","95","82","89","Advanced","Offensive","80","85","FL, ST","A classic Inner-carbon blade. Limba outer plies over a soft carbon core offer massive dwell time and safety for loops, while the inner carbon core provides linear, dynamic power on command.","","66","Inner-Carbon","Joola"
"Butterfly Timo Boll Spirit","91","89","76","91","Advanced","Offensive","150","85","FL, ST","The predecessor to the TB ALC and a legend in its own right. This blade uses the exact Koto-ALC construction that set the benchmark for versatile, controlled-looping offensive power.","","75","Outer-Carbon","Butterfly"
"Andro Treiber Z","93","91","78","93","Advanced","Offensive","150","85","FL, ST","A rare multi-talent. The outer Z-fiber provides a massive sweet spot and a ""crispy"" feel that excels at both aggressive counter-loops and solid, constant blocks.","","82","Outer-Carbon","Andro"
"Gewo Aruna Carbon 2","94","86","73","94","Advanced","Offensive","150","85","FL, ST","Built for the explosive style of Quadri Aruna. This blade uses high-energy carbon layers to maximize ball acceleration, making it a weapon for players who dominate with raw power.","","84","Outer-Carbon","Gewo"
"Victas Koki Niwa ZC","96","85","72","96","Advanced","Offensive","150","85","FL, ST","A high-speed masterpiece. The Z-Carbon placement offers extreme stability and a direct trajectory, specifically designed for Koki Niwa's signature close-to-the-table ""artistic"" counters.","","88","Outer-Carbon","Victas"
"Donic Ovtcharov Senso V1","89","91","78","89","Advanced","Offensive","80","85","FL, ST","A walnut-outer 7-ply beast. Donic’s Senso technology (hollow handle) shifts the balance toward the head, providing unbelievable power for smashes while maintaining wood-like feedback.","","80","All-Wood","Donic"
"Yasaka Rakza 7 Carbon","88","97","84","88","Advanced","Offensive","80","85","FL, ST","The ultimate synergy blade. By placing carbon on the core, Yasaka created a blade that behaves like a 5-ply wood on touch shots but provides a carbon ""kick"" during high-impact loops.","","65","Inner-Carbon","Yasaka"
"Andro Gauzy HL5","91","92","79","91","Advanced","Offensive","150","85","FL, ST","Designed by Simon Gauzy. It prioritizes creativity and feeling over ""brute"" speed. The KVL carbon stabilizes the blade, reducing vibration without killing the natural dwell time of the wood.","","74","Outer-Carbon","Andro"
"Gewo Force ARC Off","92","88","75","92","Advanced","Offensive","150","85","FL, ST","A direct rival to the ALC class. The Aramid Carbon weave creates a balanced hardness that is optimized for speed-oriented topspin players who want to dominate the first three balls.","","79","Outer-Carbon","Gewo"
"Tibhar Shang Kun Hybrid ZC","94","90","77","94","Advanced","Offensive","150","85","FL, ST","The inner Zylon-Carbon construction offers a unique ""hold-and-release"" feel. It is one of the most powerful inner-fiber blades on the market, perfect for massive mid-distance looping.","","72","Inner-Carbon","Tibhar"
"Victas Swat Power","88","94","81","88","Advanced","Offensive","80","85","FL, ST","One of the most popular 7-ply blades in Japan. It is stiffer than a Clipper but maintains a ""soft"" impact feel, making it incredible for the high-tension rubber era.","","76","All-Wood","Victas"
